head,relation,tail,label,modification,assertion
PersonX wipes PersonY's forehead,xIntent,PersonX intended to help their friend,1,0,"PersonX wipes PersonY's forehead, thus it can be seen about PersonX's intention that PersonX intended to help their friend"
PersonX puts PersonY's phone,xNeed,PersonX take the phone,1,0,The event PersonX puts PersonY's phone will not happen unless PersonX take the phone
PersonX waves ___ around,xIntent,PersonX send out signal,0,1,"PersonX waves ___ around, thus it can be seen about PersonX's intention that PersonX send out signal"
PersonX studies for PersonX's math test,xNeed,PersonX study,1,0,The event PersonX studies for PersonX's math test will not happen unless PersonX study
PersonX pulls PersonX's car over,xIntent,PersonX feel guilty,0,2,"PersonX pulls PersonX's car over, thus it can be seen about PersonX's intention that PersonX feel guilty"
PersonX looks PersonY ___ in the face,xNeed,PersonX intended to see another person,0,2,The event PersonX looks PersonY ___ in the face will not happen unless PersonX intended to see another person
PersonX is someone else 's ___,xIntent,PersonX ask for turn,0,2,"PersonX is someone else 's ___, thus it can be seen about PersonX's intention that PersonX ask for turn"
PersonX finally got home,xIntent,PersonX intended to fix dinner,1,0,"PersonX finally got home, thus it can be seen about PersonX's intention that PersonX intended to fix dinner"
PersonX enjoys life,xReact,PersonX be amiable,0,2,"PersonX enjoys life, thus as a result on PersonX's emotion, PersonX be amiable"
PersonX wants to play an instrument,xIntent,PersonX feel accomplished,0,2,"PersonX wants to play an instrument, thus it can be seen about PersonX's intention that PersonX feel accomplished"
PersonX loves cake,xReact,PersonX feel eager to eat it,1,0,"PersonX loves cake, thus as a result on PersonX's emotion, PersonX feel eager to eat it"
PersonX feels elated,xReact,PersonX feel excited,1,0,"PersonX feels elated, thus as a result on PersonX's emotion, PersonX feel excited"
PersonX taketh PersonY's ___ in vain,xIntent,PersonX intended to insult person y,1,0,"PersonX taketh PersonY's ___ in vain, thus it can be seen about PersonX's intention that PersonX intended to insult person y"
PersonX helps PersonX's brother,xIntent,PersonX intended to them to have things a bit easier ,1,0,"PersonX helps PersonX's brother, thus it can be seen about PersonX's intention that PersonX intended to them to have things a bit easier "
PersonX sees PersonY brother,xIntent,PersonX intended to play with y's brother,1,0,"PersonX sees PersonY brother, thus it can be seen about PersonX's intention that PersonX intended to play with y's brother"
PersonX is watching a scary movie,xNeed,PersonX feel frightened,0,2,The event PersonX is watching a scary movie will not happen unless PersonX feel frightened
PersonX sees PersonY's wife,xReact,PersonX be out shopping,0,2,"PersonX sees PersonY's wife, thus as a result on PersonX's emotion, PersonX be out shopping"
PersonX makes bread,xIntent,PersonX an oven,0,2,"PersonX makes bread, thus it can be seen about PersonX's intention that PersonX an oven"
PersonX catches the bus to work,xIntent,PersonX intended to make money,1,0,"PersonX catches the bus to work, thus it can be seen about PersonX's intention that PersonX intended to make money"
PersonX thinks of a solution,xAttr,PersonX be well-educated,1,0,"PersonX thinks of a solution, thus it can be seen about PersonX's attribute that PersonX be well-educated"
PersonX runs for class president,xNeed,PersonX apply to run,1,0,The event PersonX runs for class president will not happen unless PersonX apply to run
PersonX is hard to find,xReact,PersonX be running,0,2,"PersonX is hard to find, thus as a result on PersonX's emotion, PersonX be running"
PersonX asks PersonX's doctor,xAttr,PersonX be confused,1,0,"PersonX asks PersonX's doctor, thus it can be seen about PersonX's attribute that PersonX be confused"
PersonX eats oatmeal,xNeed,PersonX measure out scoops,1,0,The event PersonX eats oatmeal will not happen unless PersonX measure out scoops
PersonX leaves the library,xNeed,PersonX intended to get some dinner,0,1,The event PersonX leaves the library will not happen unless PersonX intended to get some dinner
PersonX always beat ___,xNeed,PersonX intended to be a winner,0,2,The event PersonX always beat ___ will not happen unless PersonX intended to be a winner
PersonX wants a car,xIntent,PersonX intended to be able to have transportation,1,0,"PersonX wants a car, thus it can be seen about PersonX's intention that PersonX intended to be able to have transportation"
PersonX dances the night away,xNeed,PersonX feel fun,0,2,The event PersonX dances the night away will not happen unless PersonX feel fun
PersonX searches PersonY,xNeed,PersonX be caring,0,1,The event PersonX searches PersonY will not happen unless PersonX be caring
PersonX has lost PersonY's phone,xAttr,PersonX be careless,1,0,"PersonX has lost PersonY's phone, thus it can be seen about PersonX's attribute that PersonX be careless"
PersonX comes to PersonY's house,xNeed,"PersonX feel happy, friendly towards person",0,2,"The event PersonX comes to PersonY's house will not happen unless PersonX feel happy, friendly towards person"
PersonX has seen PersonX's day,xAttr,PersonX be perceptive,1,0,"PersonX has seen PersonX's day, thus it can be seen about PersonX's attribute that PersonX be perceptive"
wait on line,xNeed,PersonX feel determined,0,2,The event wait on line will not happen unless PersonX feel determined
PersonX is feeling sick,xReact,PersonX feel exhausted,1,0,"PersonX is feeling sick, thus as a result on PersonX's emotion, PersonX feel exhausted"
PersonX makes a speech,xAttr,PersonX have a topic to speak on,0,1,"PersonX makes a speech, thus it can be seen about PersonX's attribute that PersonX have a topic to speak on"
PersonX turns PersonY's life around,xIntent,PersonX intended to be helpful,1,0,"PersonX turns PersonY's life around, thus it can be seen about PersonX's intention that PersonX intended to be helpful"
PersonX puts ___ to PersonY's lips,xIntent,PersonX intended to seduce someone,1,0,"PersonX puts ___ to PersonY's lips, thus it can be seen about PersonX's intention that PersonX intended to seduce someone"
PersonX gets PersonY's mother,xNeed,PersonX go to the room,1,0,The event PersonX gets PersonY's mother will not happen unless PersonX go to the room
PersonX visits PersonX's daughter,xIntent,PersonX be motherly,0,1,"PersonX visits PersonX's daughter, thus it can be seen about PersonX's intention that PersonX be motherly"
PersonX offer PersonY opinion,xReact,PersonX be helpful,0,1,"PersonX offer PersonY opinion, thus as a result on PersonX's emotion, PersonX be helpful"
PersonX catches PersonY's eye,oReact,PersonY feel good about themselves,1,0,"PersonX catches PersonY's eye, thus as a result on PersonY's emotion, PersonY feel good about themselves"
PersonX meets the band,oReact,PersonX be fun to be around,0,1,"PersonX meets the band, thus as a result on PersonY's emotion, PersonX be fun to be around"
PersonX watches the kids,xNeed,PersonX intended to make sure they are okay,0,2,The event PersonX watches the kids will not happen unless PersonX intended to make sure they are okay
PersonX dies peacefully,xAttr,PersonX be old,1,0,"PersonX dies peacefully, thus it can be seen about PersonX's attribute that PersonX be old"
PersonX pumps PersonX's gas,xNeed,PersonX feel broke,0,2,The event PersonX pumps PersonX's gas will not happen unless PersonX feel broke
PersonX avoids every ___,xNeed,PersonX intended to remain neutral,0,1,The event PersonX avoids every ___ will not happen unless PersonX intended to remain neutral
PersonX tans PersonY's hide,xIntent,PersonX intended to hurt persony,1,0,"PersonX tans PersonY's hide, thus it can be seen about PersonX's intention that PersonX intended to hurt persony"
PersonX achieves PersonY level,xNeed,PersonX intended to be the best he can be,0,2,The event PersonX achieves PersonY level will not happen unless PersonX intended to be the best he can be
PersonX sets PersonY up,xAttr,PersonX be mean,1,0,"PersonX sets PersonY up, thus it can be seen about PersonX's attribute that PersonX be mean"
PersonX expresses PersonX's belief,xAttr,PersonX be talkative,1,0,"PersonX expresses PersonX's belief, thus it can be seen about PersonX's attribute that PersonX be talkative"
PersonX prevents ___ from working,xAttr,PersonX have negative motives,0,2,"PersonX prevents ___ from working, thus it can be seen about PersonX's attribute that PersonX have negative motives"
PersonX wants PersonY to come,xAttr,PersonX invite,0,1,"PersonX wants PersonY to come, thus it can be seen about PersonX's attribute that PersonX invite"
PersonX keeps the peace,xAttr,PersonX work with both sides,0,1,"PersonX keeps the peace, thus it can be seen about PersonX's attribute that PersonX work with both sides"
PersonX lies to PersonY,xIntent,PersonX intended to be dishonest,1,0,"PersonX lies to PersonY, thus it can be seen about PersonX's intention that PersonX intended to be dishonest"
PersonX describes every ___,xIntent,PersonX intended to teach something,1,0,"PersonX describes every ___, thus it can be seen about PersonX's intention that PersonX intended to teach something"
"PersonX eats , drank",xAttr,PersonX preparing food,0,2,"PersonX eats , drank, thus it can be seen about PersonX's attribute that PersonX preparing food"
PersonX considers the ___ carefully,xNeed,PersonX intended to make sure he fully understands ,0,2,The event PersonX considers the ___ carefully will not happen unless PersonX intended to make sure he fully understands 
PersonX stops calling PersonY,xReact,PersonX feel guilty,1,0,"PersonX stops calling PersonY, thus as a result on PersonX's emotion, PersonX feel guilty"
PersonX earns money,xIntent,PersonX do work,0,1,"PersonX earns money, thus it can be seen about PersonX's intention that PersonX do work"
PersonX wants to learn how to swim,xNeed,PersonX get to a pool,1,0,The event PersonX wants to learn how to swim will not happen unless PersonX get to a pool
PersonX gets ___ on the paper,xNeed,PersonX think about what to write,1,0,The event PersonX gets ___ on the paper will not happen unless PersonX think about what to write
PersonX visits my friend,xAttr,PersonX feel companionship,0,2,"PersonX visits my friend, thus it can be seen about PersonX's attribute that PersonX feel companionship"
PersonX wears PersonX's clothes,oReact,PersonX intended to be clothed ,0,1,"PersonX wears PersonX's clothes, thus as a result on PersonY's emotion, PersonX intended to be clothed "
PersonX is on PersonY's school 's basketball team,xNeed,PersonX practice,1,0,The event PersonX is on PersonY's school 's basketball team will not happen unless PersonX practice
PersonX prevents ___ from coming,xAttr,PersonX be angry,1,0,"PersonX prevents ___ from coming, thus it can be seen about PersonX's attribute that PersonX be angry"
PersonX sees what had happened,xReact,PersonX be interested,0,2,"PersonX sees what had happened, thus as a result on PersonX's emotion, PersonX be interested"
take stand,oReact,PersonX willing to testify,0,1,"take stand, thus as a result on PersonY's emotion, PersonX willing to testify"
PersonX leans back in PersonY's chair,xIntent,PersonX feel relaxed,0,2,"PersonX leans back in PersonY's chair, thus it can be seen about PersonX's intention that PersonX feel relaxed"
PersonX shouts PersonY's name,xIntent,PersonX intended to get persons attention,1,0,"PersonX shouts PersonY's name, thus it can be seen about PersonX's intention that PersonX intended to get persons attention"
PersonX gives it PersonY's name,xNeed,PersonX intended to it to not easily be forgotten,0,1,The event PersonX gives it PersonY's name will not happen unless PersonX intended to it to not easily be forgotten
PersonX needs a lot of work,xAttr,PersonX feel downtrodden,0,2,"PersonX needs a lot of work, thus it can be seen about PersonX's attribute that PersonX feel downtrodden"
PersonX wants ___ badly,xAttr,PersonX be wanting,1,0,"PersonX wants ___ badly, thus it can be seen about PersonX's attribute that PersonX be wanting"
PersonX passes gas,xReact,PersonX be embarrassed,0,2,"PersonX passes gas, thus as a result on PersonX's emotion, PersonX be embarrassed"
PersonX finds PersonY another ___,xNeed,PersonX get divorced,1,0,The event PersonX finds PersonY another ___ will not happen unless PersonX get divorced
PersonX walks behind PersonY,xNeed,PersonX go to school,1,0,The event PersonX walks behind PersonY will not happen unless PersonX go to school
PersonX has to take care of PersonY,xAttr,PersonX be responsible,1,0,"PersonX has to take care of PersonY, thus it can be seen about PersonX's attribute that PersonX be responsible"
PersonX goes golfing,xReact,PersonX feel relaxed,1,0,"PersonX goes golfing, thus as a result on PersonX's emotion, PersonX feel relaxed"
PersonX takes PersonX's watch off,xAttr,PersonX wear a watch,0,2,"PersonX takes PersonX's watch off, thus it can be seen about PersonX's attribute that PersonX wear a watch"
PersonX knocks PersonY's socks off,xNeed,PersonX feel like a boss,0,2,The event PersonX knocks PersonY's socks off will not happen unless PersonX feel like a boss
PersonX is well prepared,xAttr,PersonX feel ready,0,1,"PersonX is well prepared, thus it can be seen about PersonX's attribute that PersonX feel ready"
PersonX leans back in PersonY's seat,xAttr,PersonX feel tired,0,2,"PersonX leans back in PersonY's seat, thus it can be seen about PersonX's attribute that PersonX feel tired"
PersonX says grace,xAttr,PersonX intended to pray,0,2,"PersonX says grace, thus it can be seen about PersonX's attribute that PersonX intended to pray"
PersonX understands the ___ in terms,oReact,PersonX analyze,0,1,"PersonX understands the ___ in terms, thus as a result on PersonY's emotion, PersonX analyze"
PersonX takes as PersonY example,xNeed,PersonX intended to like the way ,0,2,The event PersonX takes as PersonY example will not happen unless PersonX intended to like the way 
PersonX gives PersonX's name,xIntent,PersonX communicate,0,1,"PersonX gives PersonX's name, thus it can be seen about PersonX's intention that PersonX communicate"
PersonX pays ___ at a rate,xNeed,PersonX pay off their debt,1,0,The event PersonX pays ___ at a rate will not happen unless PersonX pay off their debt
PersonX finds ___ PersonY wanted,xIntent,PersonX be smart,0,1,"PersonX finds ___ PersonY wanted, thus it can be seen about PersonX's intention that PersonX be smart"
PersonX tells PersonY it was okay,xIntent,PersonX feel good,0,2,"PersonX tells PersonY it was okay, thus it can be seen about PersonX's intention that PersonX feel good"
PersonX orders ___ at a restaurant,xNeed,PersonX get the attention of the waiter,1,0,The event PersonX orders ___ at a restaurant will not happen unless PersonX get the attention of the waiter
PersonX sits down across from PersonY,xIntent,PersonX intended to sit with person,1,0,"PersonX sits down across from PersonY, thus it can be seen about PersonX's intention that PersonX intended to sit with person"
PersonX does n't know what to expect,xAttr,PersonX be confused,1,0,"PersonX does n't know what to expect, thus it can be seen about PersonX's attribute that PersonX be confused"
PersonX is mad at PersonX,xNeed,PersonX do something wrong,1,0,The event PersonX is mad at PersonX will not happen unless PersonX do something wrong
PersonX fudges the issue,xAttr,PersonX think of consequences of actions,0,1,"PersonX fudges the issue, thus it can be seen about PersonX's attribute that PersonX think of consequences of actions"
PersonX communicates ___ to others,xNeed,PersonX feel knowlegeable,0,2,The event PersonX communicates ___ to others will not happen unless PersonX feel knowlegeable
PersonX breaks PersonY's heart,xNeed,PersonX date,1,0,The event PersonX breaks PersonY's heart will not happen unless PersonX date
PersonX is really disappointed,xNeed,PersonX have something fail,1,0,The event PersonX is really disappointed will not happen unless PersonX have something fail
PersonX practices for weeks,xIntent,PersonX intended to get better,1,0,"PersonX practices for weeks, thus it can be seen about PersonX's intention that PersonX intended to get better"
PersonX is on vacation in mexico,xIntent,PersonX plan for their vaccation,0,2,"PersonX is on vacation in mexico, thus it can be seen about PersonX's intention that PersonX plan for their vaccation"
PersonX falls off the back of a truck,xNeed,PersonX lose their balance or slip while on the truck,1,0,The event PersonX falls off the back of a truck will not happen unless PersonX lose their balance or slip while on the truck
PersonX washes the car,xAttr,PersonX gets a bucket of water,0,1,"PersonX washes the car, thus it can be seen about PersonX's attribute that PersonX gets a bucket of water"
PersonX drives ___ in PersonY's new car,xIntent,PersonX be jealous,0,2,"PersonX drives ___ in PersonY's new car, thus it can be seen about PersonX's intention that PersonX be jealous"
PersonX forces PersonY's way,xIntent,PersonX control persony,0,1,"PersonX forces PersonY's way, thus it can be seen about PersonX's intention that PersonX control persony"
PersonX plays dodgeball,xReact,PersonX be athletic,0,1,"PersonX plays dodgeball, thus as a result on PersonX's emotion, PersonX be athletic"
PersonX meets PersonY need,xAttr,PersonX be caring,1,0,"PersonX meets PersonY need, thus it can be seen about PersonX's attribute that PersonX be caring"
PersonX finds PersonX's daughter,xAttr,PersonX be caring,1,0,"PersonX finds PersonX's daughter, thus it can be seen about PersonX's attribute that PersonX be caring"
PersonX suits PersonY's purposes,xNeed,PersonX get to know persony,1,0,The event PersonX suits PersonY's purposes will not happen unless PersonX get to know persony
PersonX holds ___ in place,xNeed,PersonX be helpful,0,2,The event PersonX holds ___ in place will not happen unless PersonX be helpful
PersonX gives a small smile,xAttr,PersonX be self assured,1,0,"PersonX gives a small smile, thus it can be seen about PersonX's attribute that PersonX be self assured"
PersonX buys ___ for PersonX's house,xAttr,PersonX be adventurous,1,0,"PersonX buys ___ for PersonX's house, thus it can be seen about PersonX's attribute that PersonX be adventurous"
PersonX smells something foul,oReact,PersonX be appalled,0,1,"PersonX smells something foul, thus as a result on PersonY's emotion, PersonX be appalled"
PersonX lets PersonY's guard,xNeed,PersonX intended to be caring,0,2,The event PersonX lets PersonY's guard will not happen unless PersonX intended to be caring
PersonX studies extra,xReact,PersonX have asked the teacher about the next study,0,1,"PersonX studies extra, thus as a result on PersonX's emotion, PersonX have asked the teacher about the next study"
PersonX minces words,xReact,PersonX be not articulate,0,1,"PersonX minces words, thus as a result on PersonX's emotion, PersonX be not articulate"
PersonX takes place in the course,xNeed,PersonX study,1,0,The event PersonX takes place in the course will not happen unless PersonX study
PersonX always asked ___,xNeed,PersonX feel uneasy about it,0,2,The event PersonX always asked ___ will not happen unless PersonX feel uneasy about it
PersonX sees PersonY wife,xIntent,PersonX intended to see his wife,1,0,"PersonX sees PersonY wife, thus it can be seen about PersonX's intention that PersonX intended to see his wife"
PersonX arches PersonY's body,xReact,PersonX be athletic,0,1,"PersonX arches PersonY's body, thus as a result on PersonX's emotion, PersonX be athletic"
PersonX misses PersonY a lot,xAttr,PersonX be desolate,1,0,"PersonX misses PersonY a lot, thus it can be seen about PersonX's attribute that PersonX be desolate"
PersonX turns PersonY's life,xNeed,PersonX be related to y,1,0,The event PersonX turns PersonY's life will not happen unless PersonX be related to y
PersonX makes ___ more often,xAttr,PersonX be prepared,1,0,"PersonX makes ___ more often, thus it can be seen about PersonX's attribute that PersonX be prepared"
PersonX finally worked up,xReact,PersonX make a decision,0,2,"PersonX finally worked up, thus as a result on PersonX's emotion, PersonX make a decision"
PersonX increases PersonX's knowledge,xIntent,PersonX intended to gain more knowledge,1,0,"PersonX increases PersonX's knowledge, thus it can be seen about PersonX's intention that PersonX intended to gain more knowledge"
PersonX falls from the tree,xNeed,PersonX feel hurt,0,2,The event PersonX falls from the tree will not happen unless PersonX feel hurt
PersonX eats ___ quickly,xIntent,PersonX intended to be doing something else,1,0,"PersonX eats ___ quickly, thus it can be seen about PersonX's intention that PersonX intended to be doing something else"
PersonX visits every ___,xNeed,PersonX be responsible,0,2,The event PersonX visits every ___ will not happen unless PersonX be responsible
PersonX rides ___ without training wheels,xReact,PersonX feel excited,1,0,"PersonX rides ___ without training wheels, thus as a result on PersonX's emotion, PersonX feel excited"
PersonX assigns ___ to groups,xIntent,PersonX make choices,0,2,"PersonX assigns ___ to groups, thus it can be seen about PersonX's intention that PersonX make choices"
PersonX faces the ___ alone,xReact,PersonX feel overwhelmed,1,0,"PersonX faces the ___ alone, thus as a result on PersonX's emotion, PersonX feel overwhelmed"
PersonX takes PersonY's watch off,xNeed,PersonX intended to y cannot do it on their own so they ask x ,0,2,The event PersonX takes PersonY's watch off will not happen unless PersonX intended to y cannot do it on their own so they ask x 
PersonX finds a good job,xNeed,PersonX search for it,1,0,The event PersonX finds a good job will not happen unless PersonX search for it
debate,xNeed,PersonX come up with subject,1,0,The event debate will not happen unless PersonX come up with subject
PersonX starts crying,xReact,PersonX be pitiful,0,2,"PersonX starts crying, thus as a result on PersonX's emotion, PersonX be pitiful"
PersonX forms PersonY opinion as,xNeed,PersonX intended to know all the information,0,2,The event PersonX forms PersonY opinion as will not happen unless PersonX intended to know all the information
PersonX never lost,xReact,PersonX feel unbeatable,1,0,"PersonX never lost, thus as a result on PersonX's emotion, PersonX feel unbeatable"
PersonX takes ___ in stride,xIntent,PersonX be strong,0,2,"PersonX takes ___ in stride, thus it can be seen about PersonX's intention that PersonX be strong"
PersonX receives ___ based,oReact,PersonX intended to the market ,0,1,"PersonX receives ___ based, thus as a result on PersonY's emotion, PersonX intended to the market "
PersonX walks humbly with PersonY's god,xNeed,PersonX be modest,0,2,The event PersonX walks humbly with PersonY's god will not happen unless PersonX be modest
PersonX sees ___ every day,xNeed,PersonX feel happy to have the same routine every day,0,2,The event PersonX sees ___ every day will not happen unless PersonX feel happy to have the same routine every day
PersonX gets ___ right,xNeed,PersonX learn,1,0,The event PersonX gets ___ right will not happen unless PersonX learn
PersonX slides PersonY's tongue,xAttr,PersonX be unctuous,1,0,"PersonX slides PersonY's tongue, thus it can be seen about PersonX's attribute that PersonX be unctuous"
PersonX restores the ___ to PersonY's condition,xAttr,PersonX be brave,1,0,"PersonX restores the ___ to PersonY's condition, thus it can be seen about PersonX's attribute that PersonX be brave"
PersonX curls PersonX's hair,xIntent,PersonX switch on curler,0,1,"PersonX curls PersonX's hair, thus it can be seen about PersonX's intention that PersonX switch on curler"
PersonX helps the ___ along,xNeed,PersonX be helpful,0,1,The event PersonX helps the ___ along will not happen unless PersonX be helpful
PersonX grabs a gun,xIntent,PersonX intended to protect themselves,1,0,"PersonX grabs a gun, thus it can be seen about PersonX's intention that PersonX intended to protect themselves"
PersonX goes work,xNeed,PersonX ate breakfast,1,0,The event PersonX goes work will not happen unless PersonX ate breakfast
PersonX can not believe PersonX's eyes,xReact,PersonX be shocked,0,2,"PersonX can not believe PersonX's eyes, thus as a result on PersonX's emotion, PersonX be shocked"
PersonX goes ___ for the first time,xNeed,PersonX feel amazed,0,2,The event PersonX goes ___ for the first time will not happen unless PersonX feel amazed
PersonX blows this popsicle stand,xAttr,PersonX be reckless,1,0,"PersonX blows this popsicle stand, thus it can be seen about PersonX's attribute that PersonX be reckless"
PersonX does well in school,xAttr,PersonX enter the tesating room,0,2,"PersonX does well in school, thus it can be seen about PersonX's attribute that PersonX enter the tesating room"
PersonX meets someone new,oReact,PersonX be out somewhere where people are,0,1,"PersonX meets someone new, thus as a result on PersonY's emotion, PersonX be out somewhere where people are"
PersonX lets PersonY explain,xIntent,PersonX intended to listen,1,0,"PersonX lets PersonY explain, thus it can be seen about PersonX's intention that PersonX intended to listen"
PersonX knows PersonY from a can of paint,xNeed,PersonX be investigating,1,0,The event PersonX knows PersonY from a can of paint will not happen unless PersonX be investigating
PersonX evens gave ___,xNeed,PersonX talk to the daughter,1,0,The event PersonX evens gave ___ will not happen unless PersonX talk to the daughter
PersonX makes up the numbers,oReact,PersonX feel ashamed,0,1,"PersonX makes up the numbers, thus as a result on PersonY's emotion, PersonX feel ashamed"
PersonX lays on top of PersonY,xNeed,PersonX wake up in crib,1,0,The event PersonX lays on top of PersonY will not happen unless PersonX wake up in crib
PersonX dresses in PersonY's clothes,xAttr,PersonX be curious,1,0,"PersonX dresses in PersonY's clothes, thus it can be seen about PersonX's attribute that PersonX be curious"
PersonX cuts PersonX's leg,xReact,PersonX be unaware,0,2,"PersonX cuts PersonX's leg, thus as a result on PersonX's emotion, PersonX be unaware"
PersonX meets someone,xIntent,PersonX be caring,0,2,"PersonX meets someone, thus it can be seen about PersonX's intention that PersonX be caring"
PersonX gives PersonY account,xIntent,PersonX be expressive,0,2,"PersonX gives PersonY account, thus it can be seen about PersonX's intention that PersonX be expressive"
wrestle,xReact,PersonX learn rules of wrestling,0,1,"wrestle, thus as a result on PersonX's emotion, PersonX learn rules of wrestling"
PersonX finds PersonY's car,xNeed,PersonX click the alarm button,1,0,The event PersonX finds PersonY's car will not happen unless PersonX click the alarm button
PersonX catches PersonY red-handed,xIntent,PersonX intended to society to be by the rules ,1,0,"PersonX catches PersonY red-handed, thus it can be seen about PersonX's intention that PersonX intended to society to be by the rules "
PersonX displays ___ proudly,xReact,PersonX feel proud,1,0,"PersonX displays ___ proudly, thus as a result on PersonX's emotion, PersonX feel proud"
PersonX takes PersonY to the er,xReact,PersonX intended to help a friend,0,1,"PersonX takes PersonY to the er, thus as a result on PersonX's emotion, PersonX intended to help a friend"
PersonX sends PersonY's home,xIntent,PersonX feel angry,0,2,"PersonX sends PersonY's home, thus it can be seen about PersonX's intention that PersonX feel angry"
PersonX gazes upon PersonY,xReact,PersonX intended to be noticed by person,0,1,"PersonX gazes upon PersonY, thus as a result on PersonX's emotion, PersonX intended to be noticed by person"
PersonX curls PersonY's hair,xIntent,PersonX intended to groom person y,1,0,"PersonX curls PersonY's hair, thus it can be seen about PersonX's intention that PersonX intended to groom person y"
PersonX pulls PersonY's hand back,xIntent,PersonX intended to keep the person from doing something dangerous,1,0,"PersonX pulls PersonY's hand back, thus it can be seen about PersonX's intention that PersonX intended to keep the person from doing something dangerous"
PersonX sees PersonX's crush,xNeed,PersonX get out of the house,1,0,The event PersonX sees PersonX's crush will not happen unless PersonX get out of the house
PersonX has PersonX's fingers in many pies,oReact,PersonX intended to play around with the pie,0,1,"PersonX has PersonX's fingers in many pies, thus as a result on PersonY's emotion, PersonX intended to play around with the pie"
PersonX bosses ___ around,xIntent,PersonX intended to be in charge,1,0,"PersonX bosses ___ around, thus it can be seen about PersonX's intention that PersonX intended to be in charge"
PersonX sends PersonY to the showers,xReact,PersonX feel in charge,1,0,"PersonX sends PersonY to the showers, thus as a result on PersonX's emotion, PersonX feel in charge"
PersonX is a waste of money,xNeed,PersonX be incompetent,0,2,The event PersonX is a waste of money will not happen unless PersonX be incompetent
PersonX broadens PersonX's ___ to include,xReact,PersonX read books,0,1,"PersonX broadens PersonX's ___ to include, thus as a result on PersonX's emotion, PersonX read books"
PersonX owns a dog,xIntent,PersonX intended to a friend ,1,0,"PersonX owns a dog, thus it can be seen about PersonX's intention that PersonX intended to a friend "
PersonX passionately rucked PersonY,xNeed,PersonX be screwed,0,2,The event PersonX passionately rucked PersonY will not happen unless PersonX be screwed
PersonX buys a house,xNeed,PersonX savings his salary,1,0,The event PersonX buys a house will not happen unless PersonX savings his salary
PersonX likes the movie,xAttr,PersonX buy a ticket,0,1,"PersonX likes the movie, thus it can be seen about PersonX's attribute that PersonX buy a ticket"
PersonX gets beer,xIntent,PersonX intended to drink it,1,0,"PersonX gets beer, thus it can be seen about PersonX's intention that PersonX intended to drink it"
PersonX starts early,xNeed,PersonX wake up early,1,0,The event PersonX starts early will not happen unless PersonX wake up early
PersonX stops but PersonY did n't listen,oReact,PersonX get attention,0,1,"PersonX stops but PersonY did n't listen, thus as a result on PersonY's emotion, PersonX get attention"
PersonX wins the match,xAttr,PersonX be strong,1,0,"PersonX wins the match, thus it can be seen about PersonX's attribute that PersonX be strong"
PersonX takes matters into PersonX's own hands,xIntent,PersonX intended to handle their business ,1,0,"PersonX takes matters into PersonX's own hands, thus it can be seen about PersonX's intention that PersonX intended to handle their business "
PersonX increases PersonX's ___ at the expense,xNeed,PersonX know math,1,0,The event PersonX increases PersonX's ___ at the expense will not happen unless PersonX know math
PersonX buys PersonY's one,xNeed,PersonX go to the store,1,0,The event PersonX buys PersonY's one will not happen unless PersonX go to the store
PersonX wins money,xReact,PersonX feel excited,1,0,"PersonX wins money, thus as a result on PersonX's emotion, PersonX feel excited"
PersonX falls off the back of a lorry,xAttr,PersonX be clumsy,1,0,"PersonX falls off the back of a lorry, thus it can be seen about PersonX's attribute that PersonX be clumsy"
PersonX makes that mistake again,xIntent,PersonX feel mad,0,2,"PersonX makes that mistake again, thus it can be seen about PersonX's intention that PersonX feel mad"
PersonX prevents ___ from entering,xNeed,PersonX notice it,1,0,The event PersonX prevents ___ from entering will not happen unless PersonX notice it
PersonX looks like fun,xReact,PersonX be confident,0,1,"PersonX looks like fun, thus as a result on PersonX's emotion, PersonX be confident"
PersonX puts PersonY's lights out,xAttr,PersonX be thrifty,1,0,"PersonX puts PersonY's lights out, thus it can be seen about PersonX's attribute that PersonX be thrifty"
PersonX finds ___ anywhere,xIntent,PersonX intended to investigate,1,0,"PersonX finds ___ anywhere, thus it can be seen about PersonX's intention that PersonX intended to investigate"
PersonX meets ___ for lunch,xNeed,PersonX set a date,1,0,The event PersonX meets ___ for lunch will not happen unless PersonX set a date
PersonX forms PersonY opinion,xAttr,PersonX event,0,1,"PersonX forms PersonY opinion, thus it can be seen about PersonX's attribute that PersonX event"
PersonX looks like an idiot,xIntent,PersonX have their hair cut like a badly mowed lawn,0,1,"PersonX looks like an idiot, thus it can be seen about PersonX's intention that PersonX have their hair cut like a badly mowed lawn"
PersonX loves ___ than anything,xAttr,PersonX be admiring,1,0,"PersonX loves ___ than anything, thus it can be seen about PersonX's attribute that PersonX be admiring"
PersonX protects the ___ from harm,xNeed,PersonX assess the situation,1,0,The event PersonX protects the ___ from harm will not happen unless PersonX assess the situation
see story,oReact,PersonX look at tv,0,1,"see story, thus as a result on PersonY's emotion, PersonX look at tv"
PersonX sees all the animals,xAttr,PersonX feel alert,0,1,"PersonX sees all the animals, thus it can be seen about PersonX's attribute that PersonX feel alert"
PersonX dyes PersonX's hair pink,xNeed,PersonX buy product,1,0,The event PersonX dyes PersonX's hair pink will not happen unless PersonX buy product
PersonX unbeknownst to PersonY,xAttr,PersonX be duplicitous,1,0,"PersonX unbeknownst to PersonY, thus it can be seen about PersonX's attribute that PersonX be duplicitous"
