head,tail,relation,dataset,label,assertion,assertion_tq
PersonX be happy with purchase,PersonX be stick in rain,xEffect,atomic,0,"PersonX be happy with purchase, thus as an result, PersonX be stick in rain","If PersonX be happy with purchase, as a result, PersonX will, PersonX be stick in rain"
PersonX want to start a business,PersonX be brave,xAttr,atomic,1,"PersonX want to start a business, thus it can be seen about PersonX's attribute that PersonX be brave","If PersonX want to start a business, PersonX is seen as, PersonX be brave"
PersonY be not irish,PersonX get PersonY 's irish up,HinderedBy,atomic2020,0,"The event PersonY be not irish will not happen, if PersonX get PersonY 's irish up","If PersonY be not irish, can be hindered by, PersonX get PersonY 's irish up"
PersonX get home late,PersonX be be drive home by police,HinderedBy,atomic2020,1,"The event PersonX get home late will not happen, if PersonX be be drive home by police","If PersonX get home late, can be hindered by, PersonX be be drive home by police"
PersonX break PersonY 's nose,PersonX want to something to take home,xWant,glucose,0,"PersonX break PersonY 's nose, thus, PersonX want to something to take home","If PersonX break PersonY 's nose, as a result, PersonX wants to, PersonX want to something to take home"
PersonX need a ride,PersonX be needy,xReact,atomic,1,"PersonX need a ride, thus as a result on PersonX's emotion, PersonX feel PersonX be needy","If PersonX need a ride, as a result, PersonX feels, PersonX be needy"
PersonX improve PersonY 's knowledge,PersonX have the wrong,xReact,atomic,0,"PersonX improve PersonY 's knowledge, thus as a result on PersonX's emotion, PersonX have the wrong","If PersonX improve PersonY 's knowledge, as a result, PersonX feels, PersonX have the wrong"
PersonX pull a nighter,PersonX pull night,xWant,atomic,1,"PersonX pull a nighter, thus, PersonX want to pull night","If PersonX pull a nighter, as a result, PersonX wants to, PersonX pull night"
PersonX get away with murder,PersonX be lucky,xReact,atomic,1,"PersonX get away with murder, thus as a result on PersonX's emotion, PersonX feel PersonX be lucky","If PersonX get away with murder, as a result, PersonX feels, PersonX be lucky"
PersonX love PeopleX,PersonY feel good about himself,xWant,glucose,0,"PersonX love PeopleX, thus, PersonX want PersonY feel good about himself","If PersonX love PeopleX, as a result, PersonX wants to, PersonY feel good about himself"
PersonX lock PersonY key in car,PersonX call the locksmith,xWant,atomic,1,"PersonX lock PersonY key in car, thus, PersonX want to call the locksmith","If PersonX lock PersonY key in car, as a result, PersonX wants to, PersonX call the locksmith"
PersonX be promise,PersonX want to take PersonY on date,xAttr,glucose,0,"PersonX be promise, thus it can be seen about PersonX's attribute that PersonX want to take PersonY on date","If PersonX be promise, PersonX is seen as, PersonX want to take PersonY on date"
PersonX get some ice cream,PersonY steal PersonX 's money,HinderedBy,atomic2020,1,"The event PersonX get some ice cream will not happen, if PersonY steal PersonX 's money","If PersonX get some ice cream, can be hindered by, PersonY steal PersonX 's money"
PersonX stand on own,PersonX have a good job,xNeed,atomic,1,The event PersonX stand on own will not happen unless PersonX have a good job,"If PersonX stand on own, but before, PersonX needed, PersonX have a good job"
PeopleX get a wrinkle,the ride be free,xEffect,atomic,0,"PeopleX get a wrinkle, thus as an result, the ride be free","If PeopleX get a wrinkle, as a result, PersonX will, the ride be free"
PersonX have child,PersonX love PeopleX child,xWant,glucose,1,"PersonX have child, thus, PersonX want to love PeopleX child","If PersonX have child, as a result, PersonX wants to, PersonX love PeopleX child"
everyone leave,PersonX meet PersonY expectation,isBefore,atomic2020,0,"After everyone leave, PersonX meet PersonY expectation","If everyone leave, happens before, PersonX meet PersonY expectation"
PersonX enjoy run,PersonX need to find a place,xNeed,atomic,1,The event PersonX enjoy run will not happen unless PersonX find a place,"If PersonX enjoy run, but before, PersonX needed, PersonX need to find a place"
PersonX be resless,PersonX feel attraction,xAttr,atomic,0,"PersonX be resless, thus it can be seen about PersonX's attribute that PersonX feel attraction","If PersonX be resless, PersonX is seen as, PersonX feel attraction"
PersonX get back on horse,PersonX be persistent,xWant,atomic,0,"PersonX get back on horse, thus, PersonX want to be persistent","If PersonX get back on horse, as a result, PersonX wants to, PersonX be persistent"
PersonX immediately call,PersonX conduct research,oWant,atomic,0,"PersonX immediately call, thus, PersonY want PersonX conduct research","If PersonX immediately call, as a result, PersonY or others want to, PersonX conduct research"
PersonX rest PersonY head on shoulder,PersonX take PersonY time,oEffect,glucose,0,"PersonX rest PersonY head on shoulder, thus as an result, PersonX take PersonY time","If PersonX rest PersonY head on shoulder, as a result, PersonY or others will, PersonX take PersonY time"
PersonX enjoy the party,PersonY want to have fun,oWant,atomic,1,"PersonX enjoy the party, thus, PersonY want to have fun","If PersonX enjoy the party, as a result, PersonY or others want to, PersonY want to have fun"
PersonX recently come,PersonX be go,xAttr,atomic,1,"PersonX recently come, thus it can be seen about PersonX's attribute that PersonX be go","If PersonX recently come, PersonX is seen as, PersonX be go"
PersonX can not find it,PersonX want to chat with PeopleX,xReact,atomic,0,"PersonX can not find it, thus as a result on PersonX's emotion, PersonX want to chat with PeopleX","If PersonX can not find it, as a result, PersonX feels, PersonX want to chat with PeopleX"
PersonX try to hit the ball,PersonX feel pressure,xAttr,glucose,1,"PersonX try to hit the ball, thus it can be seen about PersonX's attribute that PersonX feel pressure","If PersonX try to hit the ball, PersonX is seen as, PersonX feel pressure"
PersonX be ride PersonX bicycle,PersonX can not find the bike,oEffect,glucose,0,"PersonX be ride PersonX bicycle, thus as an result, PersonX can not find the bike","If PersonX be ride PersonX bicycle, as a result, PersonY or others will, PersonX can not find the bike"
PersonX give PersonY a clue,PeopleX solve a mystery,xIntent,atomic,1,"PersonX give PersonY a clue, thus it can be seen about PersonX's intention that PeopleX solve a mystery","If PersonX give PersonY a clue, because PersonX wanted, PeopleX solve a mystery"
PersonX write PersonY 's memoirs,PersonX remember y 's life,xIntent,atomic,1,"PersonX write PersonY 's memoirs, thus it can be seen about PersonX's intention that PersonX remember y 's life","If PersonX write PersonY 's memoirs, because PersonX wanted, PersonX remember y 's life"
PersonX have a washer,there be a problem with that,Causes,atomic,1,"Because PersonX have a washer, there be a problem with that","If PersonX have a washer, causes, there be a problem with that"
PersonX leave the place,PersonX avoid PersonY,xIntent,atomic,1,"PersonX leave the place, thus it can be seen about PersonX's intention that PersonX avoid PersonY","If PersonX leave the place, because PersonX wanted, PersonX avoid PersonY"
PersonX treat PersonY,PeopleX give,xEffect,atomic,1,"PersonX treat PersonY, thus as an result, PeopleX give","If PersonX treat PersonY, as a result, PersonX will, PeopleX give"
PersonX invite PersonY family,PersonY accept invitation,oEffect,atomic,1,"PersonX invite PersonY family, thus as an result, PersonY accept invitation","If PersonX invite PersonY family, as a result, PersonY or others will, PersonY accept invitation"
PersonX get out of bed,PersonX sleep in room,xEffect,atomic,1,"PersonX get out of bed, thus as an result, PersonX sleep in room","If PersonX get out of bed, as a result, PersonX will, PersonX sleep in room"
PeopleX could have something,PersonX want PersonX house,xWant,atomic,0,"PeopleX could have something, thus, PersonX want PersonX house","If PeopleX could have something, as a result, PersonX wants to, PersonX want PersonX house"
PersonX give,PersonY get protection,oWant,atomic,1,"PersonX give, thus, PersonY want to get protection","If PersonX give, as a result, PersonY or others want to, PersonY get protection"
PersonX taste better,PersonX be tasty,xAttr,atomic,1,"PersonX taste better, thus it can be seen about PersonX's attribute that PersonX be tasty","If PersonX taste better, PersonX is seen as, PersonX be tasty"
PersonX have day,PersonX want to have a drink,xWant,atomic,1,"PersonX have day, thus, PersonX want to have a drink","If PersonX have day, as a result, PersonX wants to, PersonX want to have a drink"
PersonX put the cookie in oven,PersonX set a timer,xEffect,atomic,1,"PersonX put the cookie in oven, thus as an result, PersonX set a timer","If PersonX put the cookie in oven, as a result, PersonX will, PersonX set a timer"
PersonX show it off to friend,PersonX want to wash glass,xWant,atomic,0,"PersonX show it off to friend, thus, PersonX want to wash glass","If PersonX show it off to friend, as a result, PersonX wants to, PersonX want to wash glass"
PersonX win a thousand dollar,PersonX be excite,xReact,atomic,1,"PersonX win a thousand dollar, thus as a result on PersonX's emotion, PersonX feel PersonX be excite","If PersonX win a thousand dollar, as a result, PersonX feels, PersonX be excite"
PersonX build that,PersonX want amusement,xIntent,glucose,1,"PersonX build that, thus it can be seen about PersonX's intention that PersonX want amusement","If PersonX build that, because PersonX wanted, PersonX want amusement"
PersonX will be fire,PersonX be almost late,HinderedBy,atomic2020,0,"The event PersonX will be fire will not happen, if PersonX be almost late","If PersonX will be fire, can be hindered by, PersonX be almost late"
PersonX hand PersonY,PersonX get brace,isBefore,atomic2020,0,"After PersonX hand PersonY, PersonX get brace","If PersonX hand PersonY, happens before, PersonX get brace"
PersonX keep pace with PersonY,PersonY look back at runner,oEffect,atomic,1,"PersonX keep pace with PersonY, thus as an result, PersonY look back at runner","If PersonX keep pace with PersonY, as a result, PersonY or others will, PersonY look back at runner"
PersonX try to avoid it,PersonX imitate PersonY example,xEffect,atomic,0,"PersonX try to avoid it, thus as an result, PersonX imitate PersonY example","If PersonX try to avoid it, as a result, PersonX will, PersonX imitate PersonY example"
PersonX have good sleep hygiene,PersonX want to look for PersonY,xIntent,atomic,0,"PersonX have good sleep hygiene, thus it can be seen about PersonX's intention that PersonX want to look for PersonY","If PersonX have good sleep hygiene, because PersonX wanted, PersonX want to look for PersonY"
PersonX have a list,PersonX need to get phone number,xNeed,atomic,0,The event PersonX have a list will not happen unless PersonX get phone number,"If PersonX have a list, but before, PersonX needed, PersonX need to get phone number"
PersonX provide PersonY opportunity,PersonY feed family,oEffect,glucose,1,"PersonX provide PersonY opportunity, thus as an result, PersonY feed family","If PersonX provide PersonY opportunity, as a result, PersonY or others will, PersonY feed family"
PersonX see a ad,PersonX be put up new blind,isAfter,atomic2020,0,"Before PersonX see a ad, PersonX be put up new blind","If PersonX see a ad, happens after, PersonX be put up new blind"
PersonX fall everywhere,PersonX hold conversation,xWant,atomic,0,"PersonX fall everywhere, thus, PersonX want to hold conversation","If PersonX fall everywhere, as a result, PersonX wants to, PersonX hold conversation"
the desk be too high,PersonX rest PersonY 's elbow,HinderedBy,atomic2020,0,"The event the desk be too high will not happen, if PersonX rest PersonY 's elbow","If the desk be too high, can be hindered by, PersonX rest PersonY 's elbow"
PersonX credit card be decline,PersonX be very good at game,HinderedBy,atomic2020,0,"The event PersonX credit card be decline will not happen, if PersonX be very good at game","If PersonX credit card be decline, can be hindered by, PersonX be very good at game"
PersonX leave PersonX key,PersonX look for key,xWant,atomic,1,"PersonX leave PersonX key, thus, PersonX want to look for key","If PersonX leave PersonX key, as a result, PersonX wants to, PersonX look for key"
PersonX need to continuously wear it,PersonX need to grab antibiotic,xNeed,atomic,0,The event PersonX need to continuously wear it will not happen unless PersonX grab antibiotic,"If PersonX need to continuously wear it, but before, PersonX needed, PersonX need to grab antibiotic"
PersonX be determine,PersonX have another one,xAttr,atomic,0,"PersonX be determine, thus it can be seen about PersonX's attribute that PersonX have another one","If PersonX be determine, PersonX is seen as, PersonX have another one"
PersonX go to PersonY,PersonX beard,HinderedBy,atomic2020,0,"The event PersonX go to PersonY will not happen, if PersonX beard","If PersonX go to PersonY, can be hindered by, PersonX beard"
PersonY be annoyed fine,PersonX impress a girl,oReact,atomic,0,"PersonY be annoyed fine, thus as a result on PersonY's emotion, PersonX impress a girl","If PersonY be annoyed fine, as a result, PersonY or others feel, PersonX impress a girl"
PersonX be achievable,PersonX be oneness,xAttr,atomic,0,"PersonX be achievable, thus it can be seen about PersonX's attribute that PersonX be oneness","If PersonX be achievable, PersonX is seen as, PersonX be oneness"
PersonX bring pressure,PersonX rub the back of neck,oReact,atomic,0,"PersonX bring pressure, thus as a result on PersonY's emotion, PersonX rub the back of neck","If PersonX bring pressure, as a result, PersonY or others feel, PersonX rub the back of neck"
PersonX catch,PersonY remain,oWant,atomic,1,"PersonX catch, thus, PersonY want to remain","If PersonX catch, as a result, PersonY or others want to, PersonY remain"
PersonX want to do it,PersonX do all day,xWant,glucose,1,"PersonX want to do it, thus, PersonX want to do all day","If PersonX want to do it, as a result, PersonX wants to, PersonX do all day"
PersonX tell PersonY teacher,PersonX do PersonX thought,isBefore,glucose,1,"After PersonX tell PersonY teacher, PersonX do PersonX thought","If PersonX tell PersonY teacher, happens before, PersonX do PersonX thought"
PersonX grab PersonX chest,PersonX need to pick up PeopleX hand,xNeed,atomic,1,The event PersonX grab PersonX chest will not happen unless PersonX pick up PeopleX hand,"If PersonX grab PersonX chest, but before, PersonX needed, PersonX need to pick up PeopleX hand"
PersonX look away,PersonX want to know more,HinderedBy,atomic2020,1,"The event PersonX look away will not happen, if PersonX want to know more","If PersonX look away, can be hindered by, PersonX want to know more"
PersonX listen to parent,PersonY have new friend,oEffect,atomic,1,"PersonX listen to parent, thus as an result, PersonY have new friend","If PersonX listen to parent, as a result, PersonY or others will, PersonY have new friend"
PersonX toot PersonX own horn,PersonX be arrogant,xAttr,atomic,1,"PersonX toot PersonX own horn, thus it can be seen about PersonX's attribute that PersonX be arrogant","If PersonX toot PersonX own horn, PersonX is seen as, PersonX be arrogant"
PersonX find a chair,PersonX sit on chair,xEffect,glucose,1,"PersonX find a chair, thus as an result, PersonX sit on chair","If PersonX find a chair, as a result, PersonX will, PersonX sit on chair"
PersonX have audience,PersonX have another date,xWant,atomic,0,"PersonX have audience, thus, PersonX want to have another date","If PersonX have audience, as a result, PersonX wants to, PersonX have another date"
PersonX want to use the supplies in school,PersonX ask sorry,xWant,atomic,0,"PersonX want to use the supplies in school, thus, PersonX want to ask sorry","If PersonX want to use the supplies in school, as a result, PersonX wants to, PersonX ask sorry"
PeopleX eye widen,PersonX base on experience,xEffect,atomic,0,"PeopleX eye widen, thus as an result, PersonX base on experience","If PeopleX eye widen, as a result, PersonX will, PersonX base on experience"
PersonX run fast,PersonX be fit,xAttr,atomic,1,"PersonX run fast, thus it can be seen about PersonX's attribute that PersonX be fit","If PersonX run fast, PersonX is seen as, PersonX be fit"
PersonX study day,PersonX be responsible,xAttr,atomic,1,"PersonX study day, thus it can be seen about PersonX's attribute that PersonX be responsible","If PersonX study day, PersonX is seen as, PersonX be responsible"
PersonX get visit by worker,PersonX be prepare to do it,xEffect,atomic,0,"PersonX get visit by worker, thus as an result, PersonX be prepare to do it","If PersonX get visit by worker, as a result, PersonX will, PersonX be prepare to do it"
PersonX find PersonY family,PersonX need to perform a search for family,xNeed,atomic,1,The event PersonX find PersonY family will not happen unless PersonX perform a search for family,"If PersonX find PersonY family, but before, PersonX needed, PersonX need to perform a search for family"
PersonX buy a ring,the store be sell out,HinderedBy,atomic2020,1,"The event PersonX buy a ring will not happen, if the store be sell out","If PersonX buy a ring, can be hindered by, the store be sell out"
PersonX make that,PersonY rip something,oEffect,glucose,1,"PersonX make that, thus as an result, PersonY rip something","If PersonX make that, as a result, PersonY or others will, PersonY rip something"
PersonX cut PersonX grass,PersonX need to get the lawn mower,xNeed,atomic,1,The event PersonX cut PersonX grass will not happen unless PersonX get the lawn mower,"If PersonX cut PersonX grass, but before, PersonX needed, PersonX need to get the lawn mower"
PersonX howl in pain,PersonX be anguish,xReact,atomic,1,"PersonX howl in pain, thus as a result on PersonX's emotion, PersonX feel PersonX be anguish","If PersonX howl in pain, as a result, PersonX feels, PersonX be anguish"
PersonX sing,PersonX take deep breath,HasSubEvent,cn,1,The event PersonX sing includes the event/action that PersonX take deep breath,"If PersonX sing, includes the event or action, PersonX take deep breath"
PersonX be ambitous,PersonX provide PersonY education,xAttr,atomic,0,"PersonX be ambitous, thus it can be seen about PersonX's attribute that PersonX provide PersonY education","If PersonX be ambitous, PersonX is seen as, PersonX provide PersonY education"
PersonX try to get up,PersonX go into room,isAfter,glucose,0,"Before PersonX try to get up, PersonX go into room","If PersonX try to get up, happens after, PersonX go into room"
PersonX pick a fight with PersonY,PersonY be clean,xIntent,atomic,0,"PersonX pick a fight with PersonY, thus it can be seen about PersonX's intention that PersonY be clean","If PersonX pick a fight with PersonY, because PersonX wanted, PersonY be clean"
PersonX be try to tell PersonY,PersonX feel frustrated,xEffect,atomic,0,"PersonX be try to tell PersonY, thus as an result, PersonX feel frustrated","If PersonX be try to tell PersonY, as a result, PersonX will, PersonX feel frustrated"
PersonX get hire,PersonX get training,xEffect,atomic,1,"PersonX get hire, thus as an result, PersonX get training","If PersonX get hire, as a result, PersonX will, PersonX get training"
PersonX want to put the milk in fridge,PeopleX be camp,xWant,atomic,0,"PersonX want to put the milk in fridge, thus, PersonX want PeopleX be camp","If PersonX want to put the milk in fridge, as a result, PersonX wants to, PeopleX be camp"
PersonX decide to retire,PersonX now have a free time,xWant,atomic,0,"PersonX decide to retire, thus, PersonX want PersonX now have a free time","If PersonX decide to retire, as a result, PersonX wants to, PersonX now have a free time"
the insurance company will not approve the visit,person x have major depressive disorder,HinderedBy,atomic2020,0,"The event the insurance company will not approve the visit will not happen, if person x have major depressive disorder","If the insurance company will not approve the visit, can be hindered by, person x have major depressive disorder"
PersonX be at the mall with friend,PeopleX do not have more money,xWant,glucose,0,"PersonX be at the mall with friend, thus, PersonX want PeopleX do not have more money","If PersonX be at the mall with friend, as a result, PersonX wants to, PeopleX do not have more money"
PersonX bend PersonY ear,PersonX graduate school,xAttr,atomic,0,"PersonX bend PersonY ear, thus it can be seen about PersonX's attribute that PersonX graduate school","If PersonX bend PersonY ear, PersonX is seen as, PersonX graduate school"
intent pay,PersonX be in the bathroom,xIntent,atomic,0,"intent pay, thus it can be seen about PersonX's intention that PersonX be in the bathroom","If intent pay, because PersonX wanted, PersonX be in the bathroom"
PersonX find a penny,PersonX be surprised,xNeed,atomic,0,The event PersonX find a penny will not happen unless PersonX be surprised,"If PersonX find a penny, but before, PersonX needed, PersonX be surprised"
PeopleX go to doctor,PersonX enjoye the movie,xEffect,glucose,0,"PeopleX go to doctor, thus as an result, PersonX enjoye the movie","If PeopleX go to doctor, as a result, PersonX will, PersonX enjoye the movie"
PersonX reduce PersonY 's risk,PersonX get PersonY a flu shot,isAfter,atomic2020,1,"Before PersonX reduce PersonY 's risk, PersonX get PersonY a flu shot","If PersonX reduce PersonY 's risk, happens after, PersonX get PersonY a flu shot"
PersonX learn guitar,PersonX star straight ahead,xReact,glucose,0,"PersonX learn guitar, thus as a result on PersonX's emotion, PersonX star straight ahead","If PersonX learn guitar, as a result, PersonX feels, PersonX star straight ahead"
PersonX halfway do,PersonX would get a fail grade,HinderedBy,atomic2020,1,"The event PersonX halfway do will not happen, if PersonX would get a fail grade","If PersonX halfway do, can be hindered by, PersonX would get a fail grade"
PersonX will not let,PersonX keep up with jonese,HinderedBy,atomic2020,0,"The event PersonX will not let will not happen, if PersonX keep up with jonese","If PersonX will not let, can be hindered by, PersonX keep up with jonese"
PersonX like tv,when PersonZ mother will arrive,xIntent,atomic,0,"PersonX like tv, thus it can be seen about PersonX's intention that when PersonZ mother will arrive","If PersonX like tv, because PersonX wanted, when PersonZ mother will arrive"
PersonX be care,PersonX feel PersonX pulse,xAttr,atomic,0,"PersonX be care, thus it can be seen about PersonX's attribute that PersonX feel PersonX pulse","If PersonX be care, PersonX is seen as, PersonX feel PersonX pulse"
PersonX take side,person x be a professional referee,HinderedBy,atomic2020,1,"The event PersonX take side will not happen, if person x be a professional referee","If PersonX take side, can be hindered by, person x be a professional referee"
PersonX want to have a conversation,PersonX visit PersonY at work,xWant,atomic,0,"PersonX want to have a conversation, thus, PersonX want to visit PersonY at work","If PersonX want to have a conversation, as a result, PersonX wants to, PersonX visit PersonY at work"
PersonX file a complaint,PersonX intent seek a resolution,xIntent,atomic,1,"PersonX file a complaint, thus it can be seen about PersonX's intention that PersonX intent seek a resolution","If PersonX file a complaint, because PersonX wanted, PersonX intent seek a resolution"
PersonX lay eye on PersonY,PersonX want to flirt,xWant,atomic,1,"PersonX lay eye on PersonY, thus, PersonX want to flirt","If PersonX lay eye on PersonY, as a result, PersonX wants to, PersonX want to flirt"
PersonX jump into ditch,PersonX run out of steam,xWant,atomic,0,"PersonX jump into ditch, thus, PersonX want to run out of steam","If PersonX jump into ditch, as a result, PersonX wants to, PersonX run out of steam"
PersonX receive a refund,PersonX be justified,xReact,atomic,1,"PersonX receive a refund, thus as a result on PersonX's emotion, PersonX feel PersonX be justified","If PersonX receive a refund, as a result, PersonX feels, PersonX be justified"
PersonX collect dust,PersonX move up,xWant,atomic,1,"PersonX collect dust, thus, PersonX want to move up","If PersonX collect dust, as a result, PersonX wants to, PersonX move up"
PersonX be allergic to pizza,PersonX drive too fast,HinderedBy,atomic2020,0,"The event PersonX be allergic to pizza will not happen, if PersonX drive too fast","If PersonX be allergic to pizza, can be hindered by, PersonX drive too fast"
PersonX play a game of chess,PersonX want to relax,xWant,atomic,1,"PersonX play a game of chess, thus, PersonX want to relax","If PersonX play a game of chess, as a result, PersonX wants to, PersonX want to relax"
PersonX knock PersonY to ground,PersonY want to knock PersonX to ground,oWant,atomic,1,"PersonX knock PersonY to ground, thus, PersonY want to knock PersonX to ground","If PersonX knock PersonY to ground, as a result, PersonY or others want to, PersonY want to knock PersonX to ground"
the place be crowd with people,there be no breakfast food,HinderedBy,atomic2020,0,"The event the place be crowd with people will not happen, if there be no breakfast food","If the place be crowd with people, can be hindered by, there be no breakfast food"
PersonX know every detail,PersonX take PersonY for walk,xAttr,atomic,0,"PersonX know every detail, thus it can be seen about PersonX's attribute that PersonX take PersonY for walk","If PersonX know every detail, PersonX is seen as, PersonX take PersonY for walk"
PersonX read PersonY thought,PersonX avoid PersonY 's eye anger disappointment,xEffect,glucose,1,"PersonX read PersonY thought, thus as an result, PersonX avoid PersonY 's eye anger disappointment","If PersonX read PersonY thought, as a result, PersonX will, PersonX avoid PersonY 's eye anger disappointment"
PersonX intent help pet,PersonX make a positive change for country,xIntent,atomic,0,"PersonX intent help pet, thus it can be seen about PersonX's intention that PersonX make a positive change for country","If PersonX intent help pet, because PersonX wanted, PersonX make a positive change for country"
PersonX have a large family,PeopleX be infertile,HinderedBy,atomic2020,1,"The event PersonX have a large family will not happen, if PeopleX be infertile","If PersonX have a large family, can be hindered by, PeopleX be infertile"
PersonX bring PersonY home,PersonX have a home,xNeed,atomic,1,The event PersonX bring PersonY home will not happen unless PersonX have a home,"If PersonX bring PersonY home, but before, PersonX needed, PersonX have a home"
PersonX want to collect the exam,PersonX want to return son to PersonY,xWant,atomic,0,"PersonX want to collect the exam, thus, PersonX want to return son to PersonY","If PersonX want to collect the exam, as a result, PersonX wants to, PersonX want to return son to PersonY"
PersonX be very hungry,PersonX feel hunger,xAttr,glucose,1,"PersonX be very hungry, thus it can be seen about PersonX's attribute that PersonX feel hunger","If PersonX be very hungry, PersonX is seen as, PersonX feel hunger"
PersonX know PersonY value,PersonX be inflict,xAttr,atomic,0,"PersonX know PersonY value, thus it can be seen about PersonX's attribute that PersonX be inflict","If PersonX know PersonY value, PersonX is seen as, PersonX be inflict"
PersonX take PersonY to movie,PersonX need to leave the house,xReact,atomic,0,"PersonX take PersonY to movie, thus as a result on PersonX's emotion, PersonX need to leave the house","If PersonX take PersonY to movie, as a result, PersonX feels, PersonX need to leave the house"
PersonX kill,PersonX clean up evidence,HasSubEvent,cn,1,The event PersonX kill includes the event/action that PersonX clean up evidence,"If PersonX kill, includes the event or action, PersonX clean up evidence"
PersonY commit suicide,PersonX pay PersonX expense,oEffect,atomic,0,"PersonY commit suicide, thus as an result, PersonX pay PersonX expense","If PersonY commit suicide, as a result, PersonY or others will, PersonX pay PersonX expense"
PersonY be elate,PersonX lead PersonY 's team to victory,oReact,atomic,0,"PersonY be elate, thus as a result on PersonY's emotion, PersonX lead PersonY 's team to victory","If PersonY be elate, as a result, PersonY or others feel, PersonX lead PersonY 's team to victory"
PersonX own a boat,PersonX be rich,oWant,atomic,0,"PersonX own a boat, thus, PersonY want PersonX be rich","If PersonX own a boat, as a result, PersonY or others want to, PersonX be rich"
PersonX be compliment on poster,PersonX dirty it,xEffect,atomic,0,"PersonX be compliment on poster, thus as an result, PersonX dirty it","If PersonX be compliment on poster, as a result, PersonX will, PersonX dirty it"
PersonX be hungry for it,PeopleX pray for PersonX,xEffect,glucose,0,"PersonX be hungry for it, thus as an result, PeopleX pray for PersonX","If PersonX be hungry for it, as a result, PersonX will, PeopleX pray for PersonX"
PersonX be play in park,PersonX need to be active,xNeed,atomic,1,The event PersonX be play in park will not happen unless PersonX be active,"If PersonX be play in park, but before, PersonX needed, PersonX need to be active"
PersonX find a apartment,PersonX look through album,isAfter,atomic2020,0,"Before PersonX find a apartment, PersonX look through album","If PersonX find a apartment, happens after, PersonX look through album"
PersonX clear PersonX 's line,PersonX want to rest,xWant,atomic,1,"PersonX clear PersonX 's line, thus, PersonX want to rest","If PersonX clear PersonX 's line, as a result, PersonX wants to, PersonX want to rest"
PersonX be telent,PeopleX do not listen to PersonX,xReact,atomic,0,"PersonX be telent, thus as a result on PersonX's emotion, PeopleX do not listen to PersonX","If PersonX be telent, as a result, PersonX feels, PeopleX do not listen to PersonX"
PersonX begin to snow,PersonX be strong,xAttr,atomic,1,"PersonX begin to snow, thus it can be seen about PersonX's attribute that PersonX be strong","If PersonX begin to snow, PersonX is seen as, PersonX be strong"
PersonX finish PersonY 's project,PersonY be grateful,oReact,atomic,1,"PersonX finish PersonY 's project, thus as a result on PersonY's emotion, PersonY feel PersonY be grateful","If PersonX finish PersonY 's project, as a result, PersonY or others feel, PersonY be grateful"
PersonX can not find a new apartment,PersonX have fantastic luck,HinderedBy,atomic2020,0,"The event PersonX can not find a new apartment will not happen, if PersonX have fantastic luck","If PersonX can not find a new apartment, can be hindered by, PersonX have fantastic luck"
PersonX bring a umbrella,PersonX avoid summer,xEffect,atomic,1,"PersonX bring a umbrella, thus as an result, PersonX avoid summer","If PersonX bring a umbrella, as a result, PersonX will, PersonX avoid summer"
PersonX want to avoid a reaction,PeopleX have to play that,xWant,atomic,0,"PersonX want to avoid a reaction, thus, PersonX want PeopleX have to play that","If PersonX want to avoid a reaction, as a result, PersonX wants to, PeopleX have to play that"
PersonX be bake it,PersonX want to discuss payment,xWant,glucose,0,"PersonX be bake it, thus, PersonX want to discuss payment","If PersonX be bake it, as a result, PersonX wants to, PersonX want to discuss payment"
PersonX save up for something,PersonX have that,xWant,glucose,1,"PersonX save up for something, thus, PersonX want to have that","If PersonX save up for something, as a result, PersonX wants to, PersonX have that"
PersonX take that,PersonX feel worried,xAttr,glucose,1,"PersonX take that, thus it can be seen about PersonX's attribute that PersonX feel worried","If PersonX take that, PersonX is seen as, PersonX feel worried"
PersonX problem be solve,PersonX stammer,xEffect,atomic,0,"PersonX problem be solve, thus as an result, PersonX stammer","If PersonX problem be solve, as a result, PersonX will, PersonX stammer"
PersonX be thankful,PersonY take something,xAttr,atomic,0,"PersonX be thankful, thus it can be seen about PersonX's attribute that PersonY take something","If PersonX be thankful, PersonX is seen as, PersonY take something"
PersonX learn from PeopleX,PersonX pay attention to PersonY,xEffect,glucose,0,"PersonX learn from PeopleX, thus as an result, PersonX pay attention to PersonY","If PersonX learn from PeopleX, as a result, PersonX will, PersonX pay attention to PersonY"
PersonX play basketball with friend,PersonY want to complete the game,oWant,atomic,1,"PersonX play basketball with friend, thus, PersonY want to complete the game","If PersonX play basketball with friend, as a result, PersonY or others want to, PersonY want to complete the game"
PersonX hang a leg,PersonX still have a good time,xWant,atomic,0,"PersonX hang a leg, thus, PersonX want to still have a good time","If PersonX hang a leg, as a result, PersonX wants to, PersonX still have a good time"
PersonX warm up,PersonX open that,xEffect,glucose,0,"PersonX warm up, thus as an result, PersonX open that","If PersonX warm up, as a result, PersonX will, PersonX open that"
PersonX delete PersonX account,PersonX be free,Causes,glucose,0,"Because PersonX delete PersonX account, PersonX be free","If PersonX delete PersonX account, causes, PersonX be free"
PersonX get blood from stone,PersonX be strange,xReact,atomic,1,"PersonX get blood from stone, thus as a result on PersonX's emotion, PersonX feel PersonX be strange","If PersonX get blood from stone, as a result, PersonX feels, PersonX be strange"
